Day,Depth
3.339818418,30.68181818
3.651102464,28.40909091
4.481193256,26.13636364
5.207522698,26.13636364
5.726329442,28.40909091
6.141374838,31.81818182
6.556420233,36.36363636
7.075226978,36.93181818
7.697795071,38.63636364
8.320363165,38.63636364
8.942931258,40.90909091
9.565499351,43.18181818
10.18806744,45.45454545
10.81063554,42.04545455
11.22568093,38.63636364
12.15953307,38.63636364
12.67833982,43.18181818
13.19714656,46.59090909
13.71595331,50
14.23476005,54.54545455
14.7535668,57.95454545
15.37613489,60.22727273
15.99870298,60.22727273
16.62127108,62.5
17.24383917,64.77272727
17.86640726,67.04545455
18.48897536,65.90909091
18.90402075,64.77272727
19.52658885,63.63636364
20.04539559,64.77272727
20.56420233,69.31818182
20.97924773,75
21.39429313,80.68181818
21.80933852,80.68181818
22.43190661,78.40909091
22.84695201,77.27272727
23.57328145,75
24.29961089,73.86363636
25.02594034,72.72727273
25.44098573,70.45454545
25.75226978,67.04545455
26.16731518,62.5
26.68612192,64.77272727
27.30869001,65.90909091
28.03501946,65.90909091
28.7613489,68.18181818
29.48767834,69.31818182
30.21400778,69.31818182
31.04409857,69.31818182
31.35538262,67.04545455
31.97795071,65.90909091
32.49675746,71.59090909
32.8080415,72.72727273
33.11932555,71.59090909
33.84565499,69.31818182
34.15693904,71.59090909
34.57198444,75
34.98702983,79.54545455
35.29831388,84.09090909
35.92088197,89.77272727
36.54345006,94.31818182
37.06225681,93.18181818
37.37354086,90.90909091
37.58106355,90.90909091
38.41115435,94.31818182
39.03372244,93.18181818
39.65629053,92.04545455
40.48638132,89.77272727
41.10894942,86.36363636
41.73151751,86.36363636
42.3540856,86.36363636
42.769131,92.04545455
43.08041505,95.45454545
43.70298314,95.45454545
44.22178988,93.18181818
44.94811933,87.5
45.36316472,90.90909091
45.77821012,94.31818182
46.19325551,100
46.50453956,104.5454545
46.81582361,107.9545455
47.230869,105.6818182
47.6459144,103.4090909
48.06095979,103.4090909
48.57976654,106.8181818
49.30609598,109.0909091
49.92866407,110.2272727
50.44747082,107.9545455
50.86251621,105.6818182
51.48508431,102.2727273
51.9001297,100
52.3151751,97.72727273
52.83398184,97.72727273
53.35278859,96.59090909
53.76783398,102.2727273
54.28664073,107.9545455
54.70168612,113.6363636
55.01297017,119.3181818
55.42801556,125
55.84306096,128.4090909
56.25810636,131.8181818
56.67315175,137.5
57.08819715,142.0454545
57.50324254,148.8636364
57.91828794,154.5454545
58.33333333,154.5454545
58.74837873,148.8636364
59.26718547,142.0454545
59.78599222,135.2272727
60.20103761,131.8181818
60.82360571,130.6818182
61.4461738,128.4090909
61.96498054,125
62.38002594,120.4545455
62.79507134,117.0454545
63.31387808,117.0454545
63.62516213,118.1818182
64.24773022,122.7272727
64.76653696,127.2727273
65.28534371,123.8636364
65.49286641,122.7272727
65.80415045,122.7272727
66.21919585,125
66.5304799,125
66.94552529,129.5454545
67.36057069,132.9545455
67.87937743,142.0454545
68.19066148,148.8636364
68.50194553,156.8181818
69.33203632,157.9545455
69.53955901,162.5
69.85084306,167.0454545
69.85084306,167.0454545
70.26588846,175
70.5771725,180.6818182
70.9922179,177.2727273
71.30350195,173.8636364
71.71854734,177.2727273
72.34111543,182.9545455
72.65239948,176.1363636
72.96368353,170.4545455
73.27496757,164.7727273
73.69001297,161.3636364
74.10505837,157.9545455
74.41634241,151.1363636
74.72762646,144.3181818
74.93514916,138.6363636
75.03891051,135.2272727
75.4539559,136.3636364
76.07652399,138.6363636
76.59533074,143.1818182
77.21789883,146.5909091
77.73670558,148.8636364
78.35927367,150
78.87808042,152.2727273
79.70817121,153.4090909
80.01945525,153.4090909
80.538262,150
80.84954604,146.5909091
81.16083009,142.0454545
81.36835279,137.5
81.57587549,130.6818182
81.88715953,127.2727273
82.30220493,130.6818182
82.71725032,135.2272727
82.82101167,139.7727273
82.92477302,144.3181818
83.02853437,150
83.13229572,155.6818182
83.23605707,162.5
83.44357977,169.3181818
83.54734112,176.1363636
83.75486381,185.2272727
83.85862516,193.1818182
83.96238651,200
84.06614786,207.9545455
84.16990921,215.9090909
84.27367056,223.8636364
84.37743191,230.6818182
84.48119326,238.6363636
84.48119326,242.0454545
